Route Direction,"Bus Route 
Direction",Route,Line,Rt,Intersection,Name,SD,Fixed Heading,Mean  Heading,Combined Heading,Heading,Min,Max,Requested Direction,Corrected,Combined Direction,Comments
East,East,Rt5,5,5,Intersection 33,Braddock Dr + Overland Ave,0.76,,32.60,32.60,35,350,80,,, ,
North,North,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,2.42,,323.51,323.51,325,280,10,,, ,
South (54),South,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,0.61,,141.44,141.44,140,95,185,,, ,
South (57),South,Rt3,3,3,Intersection 33,Braddock Dr + Overland Ave,0.69,,141.32,141.32,140,95,185,,, ,
West ,West ,Rt5,5,5,Intersection 33,Braddock Dr + Overland Ave,0.97,,214.58,214.58,215,170,260,,, ,
East,East,Rt5,5,5,Intersection 23,Braddock Dr + Sepulveda Blvd,1.10,,31.73,31.73,30,345,75,,, ,
North,North,Rt6,6,6,Intersection 23,Braddock Dr + Sepulveda Blvd,0.46,,304.41,304.41,305,260,350,,North ,North ,
North ,North ,Rt6R,Rt 6R,6R,Intersection 23,Braddock Dr + Sepulveda Blvd,1.17,,303.97,303.97,305,260,350,,North ,North ,
South ,South ,Rt6,6,6,Intersection 23,Braddock Dr + Sepulveda Blvd,0.93,,124.96,124.96,125,80,170,,South ,South ,
South ,South ,Rt6R,Rt 6R,6R,Intersection 23,Braddock Dr + Sepulveda Blvd,1.14,,124.96,124.96,125,80,170,,South ,South ,
East,East,Rt2,2,2,Intersection 62,Bristol Pkwy + Green Valley Cir,4.42,,105.88,105.88,105,60,150,,, ,
North (15),North,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,3.34,,103.78,103.78,105,60,150,,, ,
South (54),South,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,3.12,,245.70,245.70,245,200,290,,, ,
South (57),South,Rt3,3,3,Intersection 62,Bristol Pkwy + Green Valley Cir,4.53,,245.80,245.80,245,200,290,,, ,
East,East,Rt1,1,1,Intersection 45,Cardiff Ave + Culver Blvd,2.10,,33.78,33.78,35,350,80,,, ,
East,East,Rt5,5,5,Intersection 45,Cardiff Ave + Culver Blvd,1.91,,36.31,36.31,35,350,80,,, ,
East ,East ,Rt7,7,7,Intersection 45,Cardiff Ave + Culver Blvd,2.50,,35.75,35.75,35,350,80,,, ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 45,Cardiff Ave + Culver Blvd,1.35,,37.28,37.28,35,350,80,,, ,
West ,West ,Rt1,1,1,Intersection 45,Cardiff Ave + Culver Blvd,0.89,,212.07,212.07,210,165,255,,, ,
West ,West ,Rt5,5,5,Intersection 45,Cardiff Ave + Culver Blvd,0.74,,211.94,211.94,210,165,255,,, ,
West ,West ,Rt7,7,7,Intersection 45,Cardiff Ave + Culver Blvd,0.51,,212.29,212.29,210,165,255,,, ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 45,Cardiff Ave + Culver Blvd,0.70,,213.06,213.06,215,170,260,,, ,
North (15),North,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,2.25,,129.82,129.82,130,85,175,,, ,
South (54),South,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,0.80,,193.50,193.50,195,150,240,,, ,
South (57),South,Rt3,3,3,Intersection 70,Centinela Ave + Arizona Ave,3.53,,193.68,193.68,195,150,240,,, ,
North (27),North,Rt3,3,3,Intersection 61,Centinela Ave + Bristol Pkway,12.47,,203.00,203.00,205,160,250,,, ,
West ,West ,Rt2,2,2,Intersection 61,Centinela Ave + Bristol Pkway,1.35,,199.99,199.99,200,155,245,,, ,
North (15),North,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,2.22,,125.57,125.57,125,80,170,,, ,
South (54),South,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,13.45,,143.86,143.86,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 69,Centinela Ave + Radisson Hotel Dwy,16.06,,285.72,285.72,285,240,330,,, ,
East,East,Rt1,1,1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.00,,34.35,34.35,35,350,80,,East ,East ,EB right turn
East,East,Rt5,5,5,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.50,,33.17,33.17,35,350,80,,East ,East ,EB right turn
East ,East ,Rt7,7,7,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.31,,34.04,34.04,35,350,80,,East ,East ,EB right turn
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,0.36,,32.73,32.73,35,350,80,,East ,East ,EB right turn
West ,West ,Rt1,1,1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,22.50,,241.55,241.55,240,195,285,,North ,North ,NB left turn
West ,West ,Rt5,5,5,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,2.26,,233.62,233.62,235,190,280,,North ,North ,NB left turn
West ,West ,Rt7,7,7,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.88,,232.64,232.64,235,190,280,,North ,North ,NB left turn
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 47,Culver Blvd + Canfield Ave / Washington Blvd,1.09,,232.95,232.95,235,190,280,,North ,North ,NB left turn
East,East,Rt1,1,1,Intersection 42,Culver Blvd + Duquesne Ave,5.17,,55.30,55.30,55,10,100,,South ,South ,
East,East,Rt5,5,5,Intersection 42,Culver Blvd + Duquesne Ave,11.83,,24.79,24.79,25,340,70,,East ,East ,
East ,East ,Rt7,7,7,Intersection 42,Culver Blvd + Duquesne Ave,1.69,,34.36,34.36,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 42,Culver Blvd + Duquesne Ave,0.48,,34.17,34.17,35,350,80,,East ,East ,
West ,West ,Rt1,1,1,Intersection 42,Culver Blvd + Duquesne Ave,0.81,,214.54,214.54,215,170,260,,West ,West ,WB left turn
West ,West ,Rt5,5,5,Intersection 42,Culver Blvd + Duquesne Ave,0.93,,213.42,213.42,215,170,260,,West ,West ,WB left turn
West ,West ,Rt7,7,7,Intersection 42,Culver Blvd + Duquesne Ave,1.10,,214.10,214.10,215,170,260,,West ,West ,WB left turn
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 42,Culver Blvd + Duquesne Ave,0.58,,213.75,213.75,215,170,260,,West ,West ,WB left turn
East ,East ,Rt7,7,7,Intersection 28,Culver Blvd + Elenda St,0.89,,34.13,34.13,35,350,80,,East ,East ,
West ,West ,Rt7,7,7,Intersection 28,Culver Blvd + Elenda St,1.05,,213.37,213.37,215,170,260,,West ,West ,
East,East,Rt5,5,5,Intersection 37,Culver Blvd + Madison Ave,3.50,,302.43,302.43,300,255,345,,North ,North ,NB left turn
East ,East ,Rt7,7,7,Intersection 37,Culver Blvd + Madison Ave,3.88,,31.36,31.36,30,345,75,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 37,Culver Blvd + Madison Ave,1.55,,31.49,31.49,30,345,75,,East ,East ,
West ,West ,Rt5,5,5,Intersection 37,Culver Blvd + Madison Ave,3.08,,215.24,215.24,215,170,260,,West ,West ,WB left turn
West ,West ,Rt7,7,7,Intersection 37,Culver Blvd + Madison Ave,1.53,,213.73,213.73,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 37,Culver Blvd + Madison Ave,1.44,,214.71,214.71,215,170,260,,West ,West ,
East,East,Rt1,1,1,Intersection 46,Culver Blvd + Main St/Washington Bl,1.43,,33.00,33.00,35,350,80,,East ,East ,
East,East,Rt5,5,5,Intersection 46,Culver Blvd + Main St/Washington Bl,1.55,,34.40,34.40,35,350,80,,East ,East ,
East ,East ,Rt7,7,7,Intersection 46,Culver Blvd + Main St/Washington Bl,1.18,,33.59,33.59,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 46,Culver Blvd + Main St/Washington Bl,0.54,,34.24,34.24,35,350,80,,East ,East ,
West ,West ,Rt1,1,1,Intersection 46,Culver Blvd + Main St/Washington Bl,14.77,,305.47,305.47,305,260,350,,West ,West ,
West ,West ,Rt5,5,5,Intersection 46,Culver Blvd + Main St/Washington Bl,1.37,,310.30,310.30,310,265,355,,West ,West ,
West ,West ,Rt7,7,7,Intersection 46,Culver Blvd + Main St/Washington Bl,2.94,,309.73,309.73,310,265,355,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 46,Culver Blvd + Main St/Washington Bl,0.92,,309.56,309.56,310,265,355,,West ,West ,
East ,East ,Rt7,7,7,Intersection 34,Culver Blvd + Overland Ave,3.74,,35.57,35.57,35,350,80,,East ,East ,
East ,East ,Rt1C1,Rt 1C1,1C1,Intersection 34,Culver Blvd + Overland Ave,36.59,,111.12,111.12,110,65,155,,, ,Likely unreliable trigger point due to pulling out of Vets Park layover
North (15),North,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,1.47,,321.68,321.68,320,275,5,,, ,
South (54),South,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,0.42,,143.08,143.08,145,100,190,,, ,
South (57),South,Rt3,3,3,Intersection 34,Culver Blvd + Overland Ave,3.86,,141.02,141.02,140,95,185,,, ,
West ,West ,Rt7,7,7,Intersection 34,Culver Blvd + Overland Ave,1.13,,213.92,213.92,215,170,260,,West ,West ,
West ,West ,Rt1C1,Rt 1C1,1C1,Intersection 34,Culver Blvd + Overland Ave,0.45,,214.03,214.03,215,170,260,,West ,West ,
East ,East ,Rt7,7,7,Intersection 17,Culver Blvd + Sawtelle Blvd,1.03,,33.98,33.98,35,350,80,,East ,East ,
