TspAssetID,osmid,Name,y,x,north_min,north_max,south_min,south_max,east_min,east_max,west_min,west_max,check,note,check 2,Consider correction,CC action needed,
1,4020,Washington Blvd + Costco Dwy,33.9912085,-118.4462968,,,108,198,329,108,198,329,1,,,,,
2,1388,Washington Blvd + Glencoe Ave / Costco Dwy,33.9919576,-118.4447673,282,12,105,195,12,105,195,282,1,,,,,
3,2733,Washington Blvd + Redwood Ave,33.9932085,-118.4423359,282,11,106,198,11,106,198,282,1,,,,,
4,48,Washington Blvd + Beethoven St,33.9952558,-118.4382118,283,12,106,196,12,106,196,283,1,,,,,
5,3058,Washington Blvd + Rosabell St,33.99624075,-118.4360491,281,25,101,177,25,101,177,281,0,"Rosabell street runs parallel to venice at the request distance, but has no service",1,,,
6,3054,Washington Blvd + Washington Pl / Zanja St / Wade St,33.996908,-118.4351088,,,67,178,339,67,178,339,0,"Unsure of canonical directions here, but the bounds are valid, since there's no bus service on Washington Pl. Note there is bus service from BBB on Wade Street, but that is captured in the SB bounds",1, ,,
7,3291,Washington Pl + Centinela Ave,33.9994247,-118.4303425,284,18,108,195,18,108,195,284,1,,,,,
8,3253,Washington Pl + Grand View Blvd,34.0006044,-118.4279355,283,14,104,193,14,104,193,283,1,,,,,
9,14,Washington Blvd + Centinela Ave,33.9969688,-118.428464,292,20,113,205,20,113,205,292,1,,,,,
10,2673,Washington Blvd + Grand View Blvd,33.9972922,-118.4255164,295,26,119,208,26,119,208,295,1,,,,,
11,19,Washington Blvd + Inglewood Blvd,33.9976791,-118.4221094,285,15,111,201,15,111,201,285,1,,,,,
12,1437,Washington Blvd + Berryman Ave,34.0013157,-118.416217,251,346,76,161,346,76,161,251,1,,,,,
13,3101,I-405 SB On/Off-Ramp + Sawtelle Blvd (s/o Venice Blvd),34.0096187,-118.4182949,281,12,103,192,12,103,192,281,1,,,,,
14,3106,Washington Pl + Sawtelle Blvd,34.007291,-118.4164536,284,14,101,191,14,101,191,284,1,,,,,
15,235,Washington Blvd + Sawtelle Blvd,34.0041832,-118.4146153,257,348,89,178,348,89,178,257,1,,,,,
16,114,I-405 NB On/Off-Ramp + Sawtelle Blvd (n/o Venice Blvd),34.0028848,-118.4125815,234,36,36,144,,,144,234,0,,1,,,
17,258,Culver Blvd + Sawtelle Blvd,34.0023961,-118.411794,256,346,78,168,346,78,168,256,1,,,,,
18,3041,I-405 NB On/Off-Ramp + Sepulveda Blvd,34.0111149,-118.4157654,282,360,72,191,360,72,191,282,0,Manually corrected bounds,1,,,CHECK AGAIN
19,117,Washington Pl + Sepulveda Blvd,34.0087995,-118.4139326,283,12,100,191,12,100,191,283,1,,,,,
20,28,Washington Blvd + Washington Pl / Harter Ave / Tilden Ave,34.0101777,-118.411593,,,98,191,321,98,191,321,0,Manually corrected,0,1,,
21,105,Washington Blvd + Sepulveda Blvd,34.0071743,-118.4129811,257,359,90,167,359,90,167,257,0,,1,,,
22,3440,Lucerne Ave + Sepulveda Blvd,34.00050274,-118.4025669,268,332,74,178,332,74,178,268,0,"Corrected, OSM had service roads that made it confusing",1,,,
23,3183,Braddock Dr + Sepulveda Blvd,34.0029134,-118.406812,248,349,78,158,349,78,158,248,1,,,,,
